Dataset,A,B,C,D
anatomy,0.7777777777777778,0.0,0.8157894736842105,0.07142857142857142
astronomy,0.9078947368421053,0.0,0.9130434782608695,0.7142857142857143
business_ethics,0.8205128205128205,0.2857142857142857,0.9473684210526315,0.625
clinical_knowledge,0.7663551401869159,0.2692307692307692,0.94,0.4482758620689655
college_biology,0.835820895522388,0.36363636363636365,0.8181818181818182,0.5625
college_chemistry,0.9387755102040817,0.14285714285714285,0.9090909090909091,0.38461538461538464
college_computer_science,0.7959183673469388,0.3,1.0,0.375
college_mathematics,0.96,0.0,1.0,0.4444444444444444
college_physics,0.9361702127659575,0.0,0.8823529411764706,0.36363636363636365
computer_security,0.6923076923076923,0.2,1.0,0.1111111111111111
econometrics,0.8636363636363636,0.4166666666666667,0.8181818181818182,0.5
electrical_engineering,0.9861111111111112,0.2,0.782608695652174,0.18181818181818182
elementary_mathematics,0.6711409395973155,0.1,0.9523809523809523,0.6341463414634146
formal_logic,0.9130434782608695,0.36363636363636365,1.0,0.4666666666666667
global_facts,0.8958333333333334,0.1111111111111111,0.9375,0.2857142857142857
high_school_biology,0.832,0.26666666666666666,0.8333333333333334,0.6222222222222222
high_school_chemistry,0.87,0.07142857142857142,0.8181818181818182,0.4117647058823529
high_school_computer_science,0.6981132075471698,0.2222222222222222,0.9090909090909091,0.14285714285714285
high_school_european_history,0.4523809523809524,0.47368421052631576,0.9375,0.5128205128205128
high_school_geography,0.8686868686868687,0.4,0.8518518518518519,0.47368421052631576
high_school_government_and_politics,0.8505747126436781,0.6666666666666666,0.92,0.6538461538461539
high_school_macroeconomics,0.865,0.7307692307692307,0.95,0.782608695652174
high_school_microeconomics,0.905982905982906,0.5238095238095238,0.9615384615384616,0.8214285714285714
high_school_physics,0.8382352941176471,0.16666666666666666,0.9655172413793104,0.3333333333333333
high_school_psychology,0.7777777777777778,0.2,0.9207920792079208,0.5535714285714286
high_school_statistics,0.8666666666666667,0.38461538461538464,0.92,0.5151515151515151
high_school_us_history,0.09523809523809523,0.75,0.8108108108108109,0.6938775510204082
high_school_world_history,0.44,0.7142857142857143,0.7346938775510204,0.6896551724137931
human_aging,0.7938144329896907,0.3333333333333333,0.9047619047619048,0.6470588235294118
human_sexuality,0.7755102040816326,0.3333333333333333,0.9333333333333333,0.35294117647058826
international_law,0.6785714285714286,0.6363636363636364,0.9545454545454546,0.5454545454545454
jurisprudence,0.8571428571428571,0.3333333333333333,0.75,0.6363636363636364
logical_fallacies,0.8837209302325582,0.38461538461538464,0.9,0.6923076923076923
machine_learning,0.9111111111111111,0.125,0.8947368421052632,0.3333333333333333
management,0.7551020408163265,0.2,0.9411764705882353,0.625
marketing,0.7222222222222222,0.32,0.9354838709677419,0.5
medical_genetics,0.8,0.08333333333333333,0.8888888888888888,0.4375
miscellaneous,0.7576687116564417,0.3246753246753247,0.9161676646706587,0.3620689655172414
moral_disputes,0.9333333333333333,0.36363636363636365,0.7209302325581395,0.5384615384615384
moral_scenarios,0.8940886699507389,0.6987951807228916,0.9558823529411765,0.0
nutrition,0.8425925925925926,0.36666666666666664,0.9148936170212766,0.3333333333333333
professional_accounting,0.7380952380952381,0.5,0.8958333333333334,0.375
professional_medicine,0.1935483870967742,0.07692307692307693,0.8545454545454545,0.3333333333333333
professional_psychology,0.7614678899082569,0.46296296296296297,0.967741935483871,0.4838709677419355
public_relations,0.6666666666666666,0.625,1.0,0.2
security_studies,1.0,0.4444444444444444,0.8888888888888888,0.8333333333333334
sociology,0.7142857142857143,0.6,0.8,0.9090909090909091
us_foreign_policy,0.8,0.0,1.0,0.4
virology,0.5714285714285714,0.0,0.75,0.5
world_religions,0.8333333333333334,0.4,0.9375,0.2
Mean,0.7847677098937628,0.36846715381171335,0.9025218651010126,0.4573325094708667
