Dataset,A,B,C,D
anatomy,0.016511677059114743,-0.016317137916133047,0.012017982344053789,-0.0122125214870355
astronomy,0.013805955244253112,-0.01966328765318518,0.008126541548857905,-0.002269209139925829
business_ethics,0.022681378100670738,-0.015248202065568234,-0.003760687016670164,-0.0036724890184323955
clinical_knowledge,0.022289472372486102,-0.017926611859578695,0.009861717434764494,-0.014224577947671908
college_biology,0.014872161508014528,-0.017274621947909102,0.0024786933512200987,-7.623291132555221e-05
college_chemistry,0.00838833124931828,-0.006693842788223443,0.0007902451864429949,-0.0024847336475378456
college_computer_science,0.028332698842132936,-0.012863801646663842,-0.0058592818243191555,-0.009609615371149939
college_mathematics,0.0600183408512556,-0.03588532161419089,0.0071360860994072045,-0.03126910533647195
college_physics,0.016146909648731604,-0.01580698135887995,0.007304078380394784,-0.00764400667024645
computer_security,0.03648801877564041,-0.015215570932448415,0.00026781100191047846,-0.021540258845102474
econometrics,0.004926522770534,-0.010132675385853024,0.023322999017272056,-0.01811684640195301
electrical_engineering,0.05793743781143934,-0.0291402914842354,-0.006185127211024696,-0.022612019116179223
elementary_mathematics,0.03148856428375052,-0.02364145642844267,0.0074129851892160425,-0.015260093044523915
formal_logic,0.0330705021752801,-0.009807037580141856,0.004893988340824773,-0.028157452935962973
global_facts,0.022260718510489483,-0.006924719743073245,0.007620735647016971,-0.02295673441443321
high_school_biology,0.03322884501343938,-0.017678276142312217,0.00033293943842795104,-0.01588350830955513
high_school_chemistry,0.0058293652205628,-0.011953667777383617,0.01466297219665224,-0.008538669639831416
high_school_computer_science,0.027709800081487615,-0.00383881807498522,-0.010415780977853104,-0.013455201028649284
high_school_european_history,-0.0038754979312035504,-0.0003140981790160993,0.007359167336098593,-0.0031695712258789643
high_school_geography,0.019799155393293008,-0.01545202322406751,0.01570531455908375,-0.020052446728309255
high_school_government_and_politics,0.024359122511141446,-0.008085064428850972,0.002386465898980089,-0.018660523981270556
high_school_macroeconomics,0.018151411743175715,-0.012346318371673534,0.004335088608948566,-0.010140181980450746
high_school_microeconomics,0.014998650491957366,-0.018269088894976165,0.005175757142756615,-0.0019053187397378019
high_school_physics,0.0035062100061828555,-0.0012937922761616164,0.008527486026385811,-0.010739903756407057
high_school_psychology,0.01764079617690735,-0.01725335035146889,0.002703544653681056,-0.003090990479119482
high_school_statistics,0.02320365132807227,-0.01902131658065257,0.0023057450567815357,-0.006488079804201213
high_school_us_history,0.0007310113297164522,-0.008038005927209324,0.0011094207443381882,0.006197573853154677
high_school_world_history,0.009189183880725635,-0.01147052747420721,0.00357673966700528,-0.0012953960735237052
human_aging,0.01600053205586928,-0.01486524020770133,0.005456650963312978,-0.0065919428114809
human_sexuality,-0.0003251259547820684,-0.002386217489319775,0.009186598555354836,-0.006475255111252978
international_law,0.019699154535354486,-0.0020632602390726826,-0.0010538938936753353,-0.01658200040260647
jurisprudence,0.05244578069150309,-0.0246689540125114,-0.005851831407622521,-0.0219249952713692
logical_fallacies,0.022008872223301126,-0.015962570098025278,0.002104224160763238,-0.008150526286039128
machine_learning,0.019032546379762788,-0.020623378107503323,0.013527253063850012,-0.011936421336109448
management,0.0038989896328102125,-0.01362800177645377,0.02660494849886498,-0.016875936355221437
marketing,0.03631213316943853,-0.017469960412485587,-0.003164375347757653,-0.01567779740919529
medical_genetics,0.04325168049937132,-0.024153232222484722,-0.009676248514478326,-0.009422199762408295
miscellaneous,0.017297403308643225,-0.012336910105741422,0.014178063617759237,-0.019138556820661033
moral_disputes,0.030538543551480238,-0.011126506796849817,-0.0012079441786717743,-0.01820409257595866
moral_scenarios,0.015884068985462692,-0.012353881424353785,0.002812008963464993,-0.0063421965245739065
nutrition,0.0009973490965907925,-0.003583417162629443,0.015277759672705199,-0.012691691606666562
professional_accounting,0.026571727075639165,-0.006387743519590448,0.011333355662135822,-0.031517339218184566
professional_medicine,0.01297510157017047,0.0005283021593602347,0.004770892396799856,-0.018274296126330563
professional_psychology,0.04086034340938663,-0.012604358186408315,-0.004313939538416939,-0.023942045684561375
public_relations,0.015965971868979467,0.0003312595730488449,0.011201805793662659,-0.027499037235690936
security_studies,0.02786767823293393,-0.010409366482144286,-0.0013292866183901783,-0.016129025132399444
sociology,0.03869106724126775,-0.011475867202700107,-0.025387703497315728,-0.0018274965412518884
us_foreign_policy,0.013170162927290611,-0.024943520685275285,0.0020498334755228234,0.009723524282461857
virology,0.03679215134277326,-0.008233082925971753,-0.011571044038354739,-0.016988024378446764
world_religions,0.0416554123816787,-0.016549451622311764,-0.007574599639170648,-0.017531361120196286
Mean,0.020818726695137096,-0.013449412278562476,0.004973361314332428,-0.012342675730907048
Std,0.012818139118539063,0.006509634693349976,0.007269297559534933,0.008340438410452882
