Dataset,0,1,2,3
anatomy,0.45652173913043476,0.021739130434782608,0.41304347826086957,0.10869565217391304
astronomy,0.6826923076923077,0.019230769230769232,0.125,0.17307692307692307
business_ethics,0.6271186440677966,0.03389830508474576,0.1694915254237288,0.1694915254237288
clinical_knowledge,0.5925925925925926,0.018518518518518517,0.24074074074074073,0.14814814814814814
college_biology,0.6736842105263158,0.010526315789473684,0.11578947368421053,0.2
college_chemistry,0.64,0.06666666666666667,0.17333333333333334,0.12
college_computer_science,0.7272727272727273,0.05454545454545454,0.14545454545454545,0.07272727272727272
college_mathematics,0.819672131147541,0.08196721311475409,0.06557377049180328,0.03278688524590164
college_physics,0.6956521739130435,0.028985507246376812,0.14492753623188406,0.13043478260869565
computer_security,0.5789473684210527,0.05263157894736842,0.2807017543859649,0.08771929824561403
econometrics,0.6575342465753424,0.0410958904109589,0.1643835616438356,0.136986301369863
electrical_engineering,0.8,0.044444444444444446,0.13333333333333333,0.022222222222222223
elementary_mathematics,0.5471698113207547,0.05188679245283019,0.2971698113207547,0.10377358490566038
formal_logic,0.7590361445783133,0.024096385542168676,0.0963855421686747,0.12048192771084337
global_facts,0.7164179104477612,0.05970149253731343,0.19402985074626866,0.029850746268656716
high_school_biology,0.6041666666666666,0.046875,0.13020833333333334,0.21875
high_school_chemistry,0.6518518518518519,0.05185185185185185,0.17777777777777778,0.11851851851851852
high_school_computer_science,0.6666666666666666,0.07017543859649122,0.19298245614035087,0.07017543859649122
high_school_european_history,0.23333333333333334,0.08888888888888889,0.3111111111111111,0.36666666666666664
high_school_geography,0.7022900763358778,0.05343511450381679,0.15267175572519084,0.0916030534351145
high_school_government_and_politics,0.7886178861788617,0.08130081300813008,0.056910569105691054,0.07317073170731707
high_school_macroeconomics,0.8325991189427313,0.02643171806167401,0.07929515418502203,0.06167400881057269
high_school_microeconomics,0.8133333333333334,0.013333333333333334,0.08666666666666667,0.08666666666666667
high_school_physics,0.6039603960396039,0.039603960396039604,0.19801980198019803,0.15841584158415842
high_school_psychology,0.6516129032258065,0.03870967741935484,0.19032258064516128,0.11935483870967742
high_school_statistics,0.697841726618705,0.02877697841726619,0.1510791366906475,0.1223021582733813
high_school_us_history,0.10784313725490197,0.19607843137254902,0.22549019607843138,0.47058823529411764
high_school_world_history,0.2462686567164179,0.09701492537313433,0.26119402985074625,0.39552238805970147
human_aging,0.6785714285714286,0.05,0.20714285714285716,0.06428571428571428
human_sexuality,0.5384615384615384,0.01098901098901099,0.3516483516483517,0.0989010989010989
international_law,0.6956521739130435,0.0,0.2028985507246377,0.10144927536231885
jurisprudence,0.6323529411764706,0.058823529411764705,0.20588235294117646,0.10294117647058823
logical_fallacies,0.8645833333333334,0.07291666666666667,0.041666666666666664,0.020833333333333332
machine_learning,0.6103896103896104,0.05194805194805195,0.2597402597402597,0.07792207792207792
management,0.625,0.05357142857142857,0.25,0.07142857142857142
marketing,0.6791044776119403,0.11194029850746269,0.1865671641791045,0.022388059701492536
medical_genetics,0.45454545454545453,0.0,0.36363636363636365,0.18181818181818182
miscellaneous,0.6065934065934065,0.03736263736263736,0.27472527472527475,0.08131868131868132
moral_disputes,0.794392523364486,0.07009345794392523,0.0794392523364486,0.056074766355140186
moral_scenarios,0.7637931034482759,0.0,0.2293103448275862,0.006896551724137931
nutrition,0.6235294117647059,0.041176470588235294,0.2529411764705882,0.08235294117647059
professional_accounting,0.5725190839694656,0.0916030534351145,0.26717557251908397,0.06870229007633588
professional_medicine,0.17333333333333334,0.10666666666666667,0.56,0.16
professional_psychology,0.6666666666666666,0.04838709677419355,0.22043010752688172,0.06451612903225806
public_relations,0.4666666666666667,0.06666666666666667,0.43333333333333335,0.03333333333333333
security_studies,0.75,0.0,0.041666666666666664,0.20833333333333334
sociology,0.6190476190476191,0.047619047619047616,0.047619047619047616,0.2857142857142857
us_foreign_policy,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.3333333333333333
virology,0.32,0.0,0.4,0.28
world_religions,0.43478260869565216,0.043478260869565216,0.4782608695652174,0.043478260869565216
Mean,0.6361351946582424,0.04667884623614413,0.2058097671137683,0.1113761919918452
