Dataset,0,1,2,3
anatomy,0.8125,0.125,0.6,0.5
astronomy,0.9078947368421053,0.2,0.47368421052631576,0.5789473684210527
business_ethics,0.8947368421052632,0.3333333333333333,0.5,0.5
clinical_knowledge,0.9230769230769231,0.22727272727272727,0.5862068965517241,0.5609756097560976
college_biology,0.8852459016393442,0.14285714285714285,0.23333333333333334,0.5
college_chemistry,0.9387755102040817,0.7142857142857143,0.7272727272727273,0.6153846153846154
college_computer_science,0.8695652173913043,0.5,0.26666666666666666,0.5555555555555556
college_mathematics,0.94,0.9090909090909091,0.0,0.4444444444444444
college_physics,0.9787234042553191,0.5714285714285714,0.5,0.4166666666666667
computer_security,0.9354838709677419,0.2727272727272727,0.6428571428571429,0.6
econometrics,0.9523809523809523,0.45454545454545453,0.4583333333333333,0.3333333333333333
electrical_engineering,0.96,0.8181818181818182,0.1111111111111111,0.25
elementary_mathematics,0.8660714285714286,0.6428571428571429,0.6132075471698113,0.5909090909090909
formal_logic,0.96875,0.4166666666666667,0.5833333333333334,0.6875
global_facts,0.9166666666666666,0.5714285714285714,0.4,0.4
high_school_biology,0.8859649122807017,0.23529411764705882,0.48,0.6
high_school_chemistry,0.86,0.5384615384615384,0.4594594594594595,0.5
high_school_computer_science,0.8409090909090909,0.5454545454545454,0.5333333333333333,0.5
high_school_european_history,0.6486486486486487,0.43478260869565216,0.717948717948718,0.8181818181818182
high_school_geography,0.9111111111111111,0.2777777777777778,0.4166666666666667,0.375
high_school_government_and_politics,0.927710843373494,0.28,0.25,0.125
high_school_macroeconomics,0.9206349206349206,0.16,0.3333333333333333,0.2
high_school_microeconomics,0.9732142857142857,0.06666666666666667,0.29411764705882354,0.25806451612903225
high_school_physics,0.890625,0.38461538461538464,0.5483870967741935,0.6875
high_school_psychology,0.8967136150234741,0.5106382978723404,0.5094339622641509,0.42857142857142855
high_school_statistics,0.9247311827956989,0.6428571428571429,0.5135135135135135,0.53125
high_school_us_history,0.71875,0.391304347826087,0.5853658536585366,0.8444444444444444
high_school_world_history,0.8222222222222222,0.4,0.6875,0.7627118644067796
human_aging,0.9090909090909091,0.43478260869565216,0.5454545454545454,0.4
human_sexuality,0.8363636363636363,0.125,0.625,0.46153846153846156
international_law,0.8913043478260869,0.06666666666666667,0.5555555555555556,0.75
jurisprudence,0.9285714285714286,0.45454545454545453,0.4782608695652174,0.5
logical_fallacies,0.9878048780487805,0.6111111111111112,0.2777777777777778,0.2857142857142857
machine_learning,0.9333333333333333,0.5555555555555556,0.5,0.2857142857142857
management,0.8461538461538461,0.5,0.7619047619047619,0.6
marketing,0.875,0.6153846153846154,0.4166666666666667,0.3103448275862069
medical_genetics,0.96,0.25,0.7419354838709677,0.5
miscellaneous,0.8793103448275862,0.37662337662337664,0.5463414634146342,0.5714285714285714
moral_disputes,0.9627329192546584,0.6388888888888888,0.3181818181818182,0.3333333333333333
moral_scenarios,0.9493975903614458,0.0,0.37073170731707317,0.1346153846153846
nutrition,0.8952380952380953,0.27586206896551724,0.5789473684210527,0.5714285714285714
professional_accounting,0.8375,0.2903225806451613,0.5192307692307693,0.6153846153846154
professional_medicine,0.8695652173913043,0.7777777777777778,0.8392857142857143,0.9090909090909091
professional_psychology,0.9292929292929293,0.3673469387755102,0.4931506849315068,0.42857142857142855
public_relations,1.0,0.5,0.5909090909090909,0.0
security_studies,1.0,0.25,0.18181818181818182,0.36363636363636365
sociology,1.0,0.5,0.5,0.46153846153846156
us_foreign_policy,0.8,0.0,0.4,0.75
virology,1.0,0,0.5555555555555556,1.0
world_religions,0.9166666666666666,1.0,0.5,0.2222222222222222
Mean,0.9005174076903092,0.373800373257411,0.4801170065233485,0.4604229660658545
