Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,56.48148148148148,23.14814814814815,12.037037037037036,8.333333333333334
astronomy,43.54838709677419,31.451612903225804,18.548387096774192,6.451612903225806
business_ethics,53.75,35.0,3.75,7.5
clinical_knowledge,51.88679245283019,28.77358490566038,12.735849056603774,6.60377358490566
college_biology,60.34482758620689,15.517241379310343,15.517241379310343,8.620689655172413
college_chemistry,22.5,31.25,18.75,27.5
college_computer_science,46.25,12.5,20.0,21.25
college_mathematics,42.5,20.0,22.5,15.0
college_physics,44.047619047619044,21.428571428571427,19.047619047619047,15.476190476190476
computer_security,71.25,20.0,6.25,2.5
econometrics,44.565217391304344,28.26086956521739,14.130434782608695,13.043478260869565
electrical_engineering,48.275862068965516,18.103448275862068,24.137931034482758,9.482758620689655
elementary_mathematics,36.184210526315795,25.328947368421055,23.026315789473685,15.460526315789474
formal_logic,30.76923076923077,23.076923076923077,25.961538461538463,20.192307692307693
global_facts,28.75,33.75,23.75,13.75
high_school_biology,56.04838709677419,22.58064516129032,15.32258064516129,6.048387096774193
high_school_chemistry,37.19512195121951,31.097560975609756,21.341463414634145,10.365853658536585
high_school_computer_science,33.75,38.75,21.25,6.25
high_school_european_history,62.878787878787875,27.272727272727273,5.303030303030303,4.545454545454545
high_school_geography,61.25,24.375,10.625,3.75
high_school_government_and_politics,72.43589743589745,12.820512820512821,8.333333333333334,6.410256410256411
high_school_macroeconomics,38.782051282051285,33.333333333333336,17.30769230769231,10.576923076923078
high_school_microeconomics,46.875,22.916666666666668,19.270833333333336,10.9375
high_school_physics,33.064516129032256,31.451612903225804,16.129032258064516,19.354838709677416
high_school_psychology,63.53211009174312,19.724770642201836,11.009174311926607,5.73394495412844
high_school_statistics,34.09090909090909,25.56818181818182,26.13636363636364,14.204545454545455
high_school_us_history,69.51219512195122,20.121951219512194,9.146341463414634,1.2195121951219512
high_school_world_history,64.0625,25.520833333333336,8.854166666666668,1.5625
human_aging,55.0,21.666666666666668,13.333333333333334,10.0
human_sexuality,52.77777777777778,30.555555555555557,12.037037037037036,4.62962962962963
international_law,66.0,26.0,5.0,3.0
jurisprudence,51.13636363636364,29.545454545454547,15.90909090909091,3.409090909090909
logical_fallacies,49.24242424242424,31.818181818181817,14.393939393939394,4.545454545454545
machine_learning,45.65217391304348,31.52173913043478,13.043478260869565,9.782608695652174
management,58.333333333333336,27.38095238095238,8.333333333333334,5.9523809523809526
marketing,69.68085106382979,23.404255319148938,4.787234042553191,2.127659574468085
medical_genetics,60.0,25.0,10.0,5.0
miscellaneous,68.78980891719745,19.585987261146496,7.802547770700636,3.821656050955414
moral_disputes,53.214285714285715,24.642857142857142,13.928571428571429,8.214285714285715
moral_scenarios,24.022346368715084,36.592178770949715,19.273743016759774,20.111731843575416
nutrition,58.49056603773585,20.28301886792453,13.20754716981132,8.018867924528301
professional_accounting,44.31818181818182,34.659090909090914,10.227272727272728,10.795454545454547
professional_medicine,63.888888888888886,27.77777777777778,4.62962962962963,3.7037037037037037
professional_psychology,68.75,21.875,7.421875,1.953125
public_relations,72.22222222222221,22.22222222222222,2.7777777777777777,2.7777777777777777
security_studies,85.0,15.0,0.0,0.0
sociology,89.28571428571429,10.714285714285715,0.0,0.0
us_foreign_policy,95.0,5.0,0.0,0.0
virology,50.0,50.0,0.0,0.0
world_religions,100.0,0.0,0.0,0.0
Mean,51.847165991902834,25.581983805668017,13.701923076923077,8.868927125506072
