Dataset,A,B,C,D
anatomy,0.5283018867924528,0.9444444444444444,1.0,1.0
astronomy,0.4482758620689655,0.8181818181818182,0.8695652173913043,0.9523809523809523
business_ethics,0.9142857142857143,1.0,0.8823529411764706,0.9230769230769231
clinical_knowledge,0.6055045871559633,0.8529411764705882,1.0,1.0
college_biology,0.38095238095238093,0.8260869565217391,0.8148148148148148,1.0
college_chemistry,0.42592592592592593,0.8888888888888888,0.8,1.0
college_computer_science,0.625,0.8461538461538461,0.8,0.9166666666666666
college_mathematics,0.625,0.7692307692307693,0.8666666666666667,0.9166666666666666
college_physics,0.4358974358974359,0.75,0.8,1.0
computer_security,0.7777777777777778,0.8333333333333334,0.875,0.9473684210526315
econometrics,0.6382978723404256,0.9333333333333333,1.0,1.0
electrical_engineering,0.47692307692307695,0.9333333333333333,0.9,1.0
elementary_mathematics,0.5945945945945946,0.9411764705882353,0.9782608695652174,0.9743589743589743
formal_logic,0.5087719298245614,0.6153846153846154,0.8333333333333334,1.0
global_facts,0.6111111111111112,1.0,1.0,1.0
high_school_biology,0.43157894736842106,0.8958333333333334,0.9074074074074074,0.9803921568627451
high_school_chemistry,0.4827586206896552,0.782608695652174,0.8666666666666667,1.0
high_school_computer_science,0.75,1.0,1.0,0.8888888888888888
high_school_european_history,0.7735849056603774,0.9285714285714286,0.9583333333333334,0.8518518518518519
high_school_geography,0.39436619718309857,0.9655172413793104,0.9354838709677419,0.9655172413793104
high_school_government_and_politics,0.6071428571428571,0.9666666666666667,0.9444444444444444,1.0
high_school_macroeconomics,0.4024390243902439,0.85,0.94,1.0
high_school_microeconomics,0.49504950495049505,0.96,1.0,1.0
high_school_physics,0.4057971014492754,0.6875,0.8888888888888888,1.0
high_school_psychology,0.5409836065573771,0.8831168831168831,0.9642857142857143,1.0
high_school_statistics,0.5263157894736842,0.8235294117647058,0.9166666666666666,0.975
high_school_us_history,0.6792452830188679,0.9722222222222222,0.8857142857142857,0.9
high_school_world_history,0.7222222222222222,1.0,0.8837209302325582,0.8918918918918919
human_aging,0.6046511627906976,0.918918918918919,1.0,1.0
human_sexuality,0.5,0.8421052631578947,0.8571428571428571,0.95
international_law,0.7058823529411765,0.8095238095238095,0.9545454545454546,0.9565217391304348
jurisprudence,0.6585365853658537,0.875,1.0,1.0
logical_fallacies,0.7068965517241379,0.8,0.84,1.0
machine_learning,0.782608695652174,0.9375,0.9333333333333333,1.0
management,0.5128205128205128,0.8125,1.0,1.0
marketing,0.4810126582278481,0.8947368421052632,1.0,1.0
medical_genetics,0.6363636363636364,0.8571428571428571,0.8666666666666667,1.0
miscellaneous,0.6390041493775933,0.835820895522388,0.9922480620155039,0.9838709677419355
moral_disputes,0.5619834710743802,0.86,0.9245283018867925,0.9821428571428571
moral_scenarios,0.991130820399113,1.0,1.0,1.0
nutrition,0.5494505494505495,0.7391304347826086,0.9736842105263158,1.0
professional_accounting,0.7708333333333334,0.9393939393939394,0.9655172413793104,1.0
professional_medicine,0.6122448979591837,0.875,1.0,1.0
professional_psychology,0.6458333333333334,0.9333333333333333,0.9107142857142857,0.9772727272727273
public_relations,0.8666666666666667,1.0,1.0,1.0
security_studies,0.8,1.0,1.0,1.0
sociology,0.8571428571428571,1.0,1.0,1.0
us_foreign_policy,0.8,1.0,1.0,1.0
virology,0.7142857142857143,1.0,1.0,1.0
world_religions,1.0,1.0,1.0,1.0
Mean,0.6209123154535987,0.8903431050123947,0.9438767184183521,0.9812153887469185
