Dataset,0,1,2,3
anatomy,0.7804878048780488,0.12195121951219512,0.04878048780487805,0.04878048780487805
astronomy,0.5,0.2413793103448276,0.13793103448275862,0.1206896551724138
business_ethics,0.8648648648648649,0.08108108108108109,0.02702702702702703,0.02702702702702703
clinical_knowledge,0.8041237113402062,0.13402061855670103,0.05154639175257732,0.010309278350515464
college_biology,0.5098039215686274,0.1568627450980392,0.2549019607843137,0.0784313725490196
college_chemistry,0.6410256410256411,0.20512820512820512,0.07692307692307693,0.07692307692307693
college_computer_science,0.5686274509803921,0.17647058823529413,0.13725490196078433,0.11764705882352941
college_mathematics,0.6862745098039216,0.13725490196078433,0.13725490196078433,0.0392156862745098
college_physics,0.65,0.15,0.15,0.05
computer_security,0.8787878787878788,0.030303030303030304,0.030303030303030304,0.06060606060606061
econometrics,0.8,0.07272727272727272,0.03636363636363636,0.09090909090909091
electrical_engineering,0.6666666666666666,0.10526315789473684,0.21052631578947367,0.017543859649122806
elementary_mathematics,0.7883597883597884,0.1111111111111111,0.10052910052910052,0.0
formal_logic,0.631578947368421,0.17543859649122806,0.15789473684210525,0.03508771929824561
global_facts,0.75,0.14583333333333334,0.10416666666666667,0.0
high_school_biology,0.6373626373626373,0.08791208791208792,0.18681318681318682,0.08791208791208792
high_school_chemistry,0.6231884057971014,0.15942028985507245,0.21739130434782608,0.0
high_school_computer_science,0.918918918918919,0.0,0.08108108108108109,0.0
high_school_european_history,0.7884615384615384,0.057692307692307696,0.07692307692307693,0.07692307692307693
high_school_geography,0.66,0.14,0.2,0.0
high_school_government_and_politics,0.8333333333333334,0.037037037037037035,0.1111111111111111,0.018518518518518517
high_school_macroeconomics,0.6724137931034483,0.14655172413793102,0.1206896551724138,0.0603448275862069
high_school_microeconomics,0.7934782608695652,0.07608695652173914,0.11956521739130435,0.010869565217391304
high_school_physics,0.5692307692307692,0.2,0.2,0.03076923076923077
high_school_psychology,0.7073170731707317,0.11382113821138211,0.12195121951219512,0.056910569105691054
high_school_statistics,0.7368421052631579,0.031578947368421054,0.11578947368421053,0.11578947368421053
high_school_us_history,0.75,0.038461538461538464,0.057692307692307696,0.15384615384615385
high_school_world_history,0.8125,0.09375,0.0625,0.03125
human_aging,0.8152173913043478,0.09782608695652174,0.06521739130434782,0.021739130434782608
human_sexuality,0.7380952380952381,0.11904761904761904,0.14285714285714285,0.0
international_law,0.7419354838709677,0.0967741935483871,0.03225806451612903,0.12903225806451613
jurisprudence,0.6486486486486487,0.1891891891891892,0.08108108108108109,0.08108108108108109
logical_fallacies,0.7540983606557377,0.06557377049180328,0.11475409836065574,0.06557377049180328
machine_learning,0.8103448275862069,0.06896551724137931,0.06896551724137931,0.05172413793103448
management,0.71875,0.1875,0.0625,0.03125
marketing,0.7916666666666666,0.125,0.08333333333333333,0.0
medical_genetics,0.825,0.075,0.05,0.05
miscellaneous,0.766497461928934,0.09137055837563451,0.1065989847715736,0.03553299492385787
moral_disputes,0.6283783783783784,0.08783783783783784,0.1891891891891892,0.0945945945945946
moral_scenarios,0.9888059701492538,0.0,0.0,0.011194029850746268
nutrition,0.7848101265822784,0.13924050632911392,0.0379746835443038,0.0379746835443038
professional_accounting,0.7829457364341085,0.10077519379844961,0.08527131782945736,0.031007751937984496
professional_medicine,0.8813559322033898,0.06779661016949153,0.05084745762711865,0.0
professional_psychology,0.7682119205298014,0.07947019867549669,0.07947019867549669,0.0728476821192053
public_relations,0.9523809523809523,0.047619047619047616,0.0,0.0
security_studies,0.7586206896551724,0.0,0.0,0.2413793103448276
sociology,0.9,0.0,0.0,0.1
us_foreign_policy,0.8,0.0,0.0,0.2
virology,0.5384615384615384,0.15384615384615385,0.19230769230769232,0.11538461538461539
world_religions,0.9285714285714286,0.0,0.0,0.07142857142857142
Mean,0.7584811584017733,0.09661526316900307,0.09840120328180868,0.046502375147414884
