Dataset,0,1,2,3
anatomy,0.8205128205128205,0.625,0.5909090909090909,0.4782608695652174
astronomy,0.7708333333333334,0.72,0.6153846153846154,0.64
business_ethics,0.9444444444444444,0.5,0.5333333333333333,0.46153846153846156
clinical_knowledge,0.8554216867469879,0.5217391304347826,0.5348837209302325,0.45
college_biology,0.967741935483871,0.7931034482758621,0.6206896551724138,0.37037037037037035
college_chemistry,0.7575757575757576,0.631578947368421,0.6,0.23076923076923078
college_computer_science,0.7741935483870968,0.5,0.4117647058823529,0.3888888888888889
college_mathematics,0.7567567567567568,0.3333333333333333,0.26666666666666666,0.3076923076923077
college_physics,0.8846153846153846,0.6190476190476191,0.5,0.11764705882352941
computer_security,0.96,0.5789473684210527,0.5294117647058824,0.5263157894736842
econometrics,0.8536585365853658,0.35294117647058826,0.35714285714285715,0.4
electrical_engineering,0.9142857142857143,0.7037037037037037,0.41935483870967744,0.17391304347826086
elementary_mathematics,0.7857142857142857,0.3877551020408163,0.27586206896551724,0.046511627906976744
formal_logic,0.7674418604651163,0.5714285714285714,0.625,0.1875
global_facts,0.75,0.4375,0.23076923076923078,0.09090909090909091
high_school_biology,0.9848484848484849,0.7017543859649122,0.6984126984126984,0.46774193548387094
high_school_chemistry,0.7846153846153846,0.7058823529411765,0.6216216216216216,0.35714285714285715
high_school_computer_science,0.925,0.5333333333333333,0.5384615384615384,0.5833333333333334
high_school_european_history,0.9375,0.5555555555555556,0.7407407407407407,0.6333333333333333
high_school_geography,0.8936170212765957,0.6923076923076923,0.6923076923076923,0.5142857142857142
high_school_government_and_politics,0.9411764705882353,0.6875,0.6666666666666666,0.5588235294117647
high_school_macroeconomics,0.9239130434782609,0.7777777777777778,0.6351351351351351,0.32432432432432434
high_school_microeconomics,0.855072463768116,0.5813953488372093,0.5526315789473685,0.19047619047619047
high_school_physics,0.7777777777777778,0.6451612903225806,0.56,0.17391304347826086
high_school_psychology,0.9111111111111111,0.7450980392156863,0.8,0.6060606060606061
high_school_statistics,0.9032258064516129,0.5882352941176471,0.5263157894736842,0.40476190476190477
high_school_us_history,0.9629629629629629,0.5757575757575758,0.7368421052631579,0.8205128205128205
high_school_world_history,0.9701492537313433,0.6511627906976745,0.7674418604651163,0.7948717948717948
human_aging,0.8611111111111112,0.36585365853658536,0.5483870967741935,0.4166666666666667
human_sexuality,0.8823529411764706,0.6206896551724138,0.625,0.42857142857142855
international_law,0.967741935483871,0.7272727272727273,0.6190476190476191,0.7307692307692307
jurisprudence,0.7837837837837838,0.7058823529411765,0.6666666666666666,0.6875
logical_fallacies,0.9411764705882353,0.6153846153846154,0.5925925925925926,0.5
machine_learning,0.9459459459459459,0.3888888888888889,0.38095238095238093,0.375
management,0.92,0.631578947368421,0.6666666666666666,0.47368421052631576
marketing,0.9272727272727272,0.6,0.782608695652174,0.7380952380952381
medical_genetics,0.88,0.3684210526315789,0.5,0.4
miscellaneous,0.9241706161137441,0.6906474820143885,0.7222222222222222,0.6343283582089553
moral_disputes,0.9032258064516129,0.5818181818181818,0.5882352941176471,0.375
moral_scenarios,0.9844789356984479,0.0,0.0,0.0
nutrition,0.8481012658227848,0.5106382978723404,0.6511627906976745,0.6744186046511628
professional_accounting,0.8369565217391305,0.12121212121212122,0.2727272727272727,0.2222222222222222
professional_medicine,0.9333333333333333,0.36,0.4782608695652174,0.4666666666666667
professional_psychology,0.9493670886075949,0.32142857142857145,0.5,0.4406779661016949
public_relations,1.0,0.2222222222222222,0.2857142857142857,0.2857142857142857
security_studies,1.0,0.0,0.125,0.5714285714285714
sociology,1.0,0.16666666666666666,0.16666666666666666,0.2222222222222222
us_foreign_policy,1.0,0.25,0.5,0.7142857142857143
virology,1.0,0.5,0.625,0.6
world_religions,1.0,0.45454545454545453,0.7272727272727273,0.7142857142857143
Mean,0.9006824257724843,0.5222924987041268,0.5348241906699048,0.4182637030022476
