Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,49.074074074074076,21.296296296296298,15.74074074074074,13.88888888888889
astronomy,44.354838709677416,20.96774193548387,25.806451612903224,8.870967741935484
business_ethics,61.25,18.75,15.0,5.0
clinical_knowledge,41.9811320754717,25.0,16.9811320754717,16.037735849056602
college_biology,37.93103448275862,21.551724137931032,24.137931034482758,16.379310344827584
college_chemistry,27.5,16.25,33.75,22.5
college_computer_science,40.0,35.0,13.75,11.25
college_mathematics,37.5,32.5,10.0,20.0
college_physics,32.142857142857146,34.523809523809526,19.047619047619047,14.285714285714285
computer_security,55.0,22.5,12.5,10.0
econometrics,23.913043478260867,21.73913043478261,32.608695652173914,21.73913043478261
electrical_engineering,43.103448275862064,26.72413793103448,18.96551724137931,11.206896551724137
elementary_mathematics,29.60526315789474,29.276315789473685,21.710526315789476,19.407894736842106
formal_logic,31.73076923076923,25.961538461538463,21.153846153846153,21.153846153846153
global_facts,23.75,35.0,30.0,11.25
high_school_biology,43.9516129032258,22.58064516129032,18.951612903225804,14.516129032258064
high_school_chemistry,30.48780487804878,21.95121951219512,28.048780487804876,19.51219512195122
high_school_computer_science,35.0,32.5,22.5,10.0
high_school_european_history,44.696969696969695,24.242424242424242,20.454545454545453,10.606060606060606
high_school_geography,40.625,25.625,20.0,13.75
high_school_government_and_politics,46.794871794871796,20.512820512820515,16.666666666666668,16.025641025641026
high_school_macroeconomics,36.858974358974365,23.07692307692308,16.98717948717949,23.07692307692308
high_school_microeconomics,33.85416666666667,21.354166666666668,21.875,22.916666666666668
high_school_physics,29.032258064516128,24.193548387096772,30.64516129032258,16.129032258064516
high_school_psychology,47.935779816513765,20.18348623853211,14.44954128440367,17.431192660550458
high_school_statistics,26.704545454545457,27.272727272727273,21.022727272727273,25.000000000000004
high_school_us_history,39.02439024390244,25.609756097560975,21.341463414634145,14.024390243902438
high_school_world_history,46.35416666666667,23.4375,20.833333333333336,9.375
human_aging,50.55555555555556,20.0,15.0,14.444444444444445
human_sexuality,48.148148148148145,19.444444444444443,20.37037037037037,12.037037037037036
international_law,54.0,17.0,20.0,9.0
jurisprudence,46.59090909090909,28.40909090909091,17.045454545454547,7.954545454545455
logical_fallacies,40.15151515151515,29.545454545454547,20.454545454545453,9.848484848484848
machine_learning,26.08695652173913,38.04347826086956,25.0,10.869565217391305
management,54.76190476190476,23.80952380952381,13.095238095238095,8.333333333333334
marketing,64.8936170212766,20.21276595744681,8.51063829787234,6.382978723404255
medical_genetics,61.25,12.5,15.0,11.25
miscellaneous,57.324840764331206,20.54140127388535,14.171974522292993,7.961783439490445
moral_disputes,46.785714285714285,26.785714285714285,17.142857142857142,9.285714285714286
moral_scenarios,29.748603351955307,24.581005586592177,25.279329608938546,20.391061452513966
nutrition,47.64150943396226,22.641509433962263,18.39622641509434,11.320754716981131
professional_accounting,43.18181818181819,31.81818181818182,16.47727272727273,8.522727272727273
professional_medicine,42.592592592592595,34.25925925925926,18.51851851851852,4.62962962962963
professional_psychology,48.4375,25.78125,20.3125,5.46875
public_relations,38.888888888888886,38.888888888888886,16.666666666666664,5.555555555555555
security_studies,67.5,20.0,10.0,2.5
sociology,46.42857142857143,35.714285714285715,10.714285714285715,7.142857142857143
us_foreign_policy,65.0,25.0,10.0,0.0
virology,39.285714285714285,50.0,10.714285714285715,0.0
world_religions,64.58333333333334,25.0,6.25,4.166666666666667
Mean,42.51012145748988,24.430668016194332,19.192813765182187,13.866396761133604
