Dataset,A,B,C,D
anatomy,0.16071428571428573,0.5178571428571429,0.23214285714285715,0.08928571428571429
astronomy,0.14492753623188406,0.5072463768115942,0.2898550724637681,0.057971014492753624
business_ethics,0.12903225806451613,0.45161290322580644,0.3225806451612903,0.0967741935483871
clinical_knowledge,0.14634146341463414,0.4715447154471545,0.3089430894308943,0.07317073170731707
college_biology,0.05555555555555555,0.4583333333333333,0.3611111111111111,0.125
college_chemistry,0.1206896551724138,0.3620689655172414,0.3103448275862069,0.20689655172413793
college_computer_science,0.14583333333333334,0.5416666666666666,0.20833333333333334,0.10416666666666667
college_mathematics,0.06,0.54,0.24,0.16
college_physics,0.17543859649122806,0.5263157894736842,0.17543859649122806,0.12280701754385964
computer_security,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.2222222222222222
econometrics,0.2571428571428571,0.17142857142857143,0.2857142857142857,0.2857142857142857
electrical_engineering,0.2727272727272727,0.3484848484848485,0.2878787878787879,0.09090909090909091
elementary_mathematics,0.08878504672897196,0.46261682242990654,0.32242990654205606,0.1261682242990654
formal_logic,0.18309859154929578,0.43661971830985913,0.23943661971830985,0.14084507042253522
global_facts,0.06557377049180328,0.4098360655737705,0.47540983606557374,0.04918032786885246
high_school_biology,0.1366906474820144,0.5467625899280576,0.26618705035971224,0.050359712230215826
high_school_chemistry,0.07894736842105263,0.45614035087719296,0.3333333333333333,0.13157894736842105
high_school_computer_science,0.17307692307692307,0.40384615384615385,0.28846153846153844,0.1346153846153846
high_school_european_history,0.1232876712328767,0.4794520547945205,0.3287671232876712,0.0684931506849315
high_school_geography,0.09473684210526316,0.45263157894736844,0.37894736842105264,0.07368421052631578
high_school_government_and_politics,0.13253012048192772,0.43373493975903615,0.3373493975903614,0.0963855421686747
high_school_macroeconomics,0.13705583756345177,0.4416243654822335,0.37055837563451777,0.050761421319796954
high_school_microeconomics,0.2283464566929134,0.3228346456692913,0.4251968503937008,0.023622047244094488
high_school_physics,0.06818181818181818,0.4090909090909091,0.4090909090909091,0.11363636363636363
high_school_psychology,0.21585903083700442,0.3744493392070485,0.29955947136563876,0.11013215859030837
high_school_statistics,0.10077519379844961,0.5193798449612403,0.23255813953488372,0.14728682170542637
high_school_us_history,0.11,0.47,0.38,0.04
high_school_world_history,0.13592233009708737,0.5533980582524272,0.27184466019417475,0.038834951456310676
human_aging,0.07954545454545454,0.3977272727272727,0.4659090909090909,0.056818181818181816
human_sexuality,0.16071428571428573,0.4107142857142857,0.3392857142857143,0.08928571428571429
international_law,0.10869565217391304,0.5434782608695652,0.2826086956521739,0.06521739130434782
jurisprudence,0.14893617021276595,0.46808510638297873,0.3404255319148936,0.0425531914893617
logical_fallacies,0.0759493670886076,0.5822784810126582,0.25316455696202533,0.08860759493670886
machine_learning,0.3382352941176471,0.23529411764705882,0.29411764705882354,0.1323529411764706
management,0.18421052631578946,0.47368421052631576,0.34210526315789475,0.0
marketing,0.2878787878787879,0.24242424242424243,0.4090909090909091,0.06060606060606061
medical_genetics,0.0967741935483871,0.45161290322580644,0.3225806451612903,0.12903225806451613
miscellaneous,0.1791044776119403,0.44029850746268656,0.2835820895522388,0.09701492537313433
moral_disputes,0.16778523489932887,0.26174496644295303,0.46308724832214765,0.10738255033557047
moral_scenarios,0.37773359840954274,0.34393638170974156,0.12524850894632206,0.15308151093439365
nutrition,0.07207207207207207,0.40540540540540543,0.45045045045045046,0.07207207207207207
professional_accounting,0.17,0.44,0.34,0.05
professional_medicine,0.06451612903225806,0.3870967741935484,0.5483870967741935,0.0
professional_psychology,0.12878787878787878,0.32575757575757575,0.49242424242424243,0.05303030303030303
public_relations,0.22727272727272727,0.5454545454545454,0.22727272727272727,0.0
security_studies,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.23076923076923078
sociology,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.13333333333333333
us_foreign_policy,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855
virology,0.23529411764705882,0.17647058823529413,0.35294117647058826,0.23529411764705882
world_religions,0.29411764705882354,0.5294117647058824,0.17647058823529413,0.0
Mean,0.16967638393816664,0.4178468072456273,0.3164038767343455,0.09607293208186063
