Dataset,A,B,C,D
anatomy,0.6538461538461539,0.9459459459459459,0.8461538461538461,0.631578947368421
astronomy,0.5483870967741935,0.925,0.8064516129032258,0.5
business_ethics,0.7142857142857143,0.9047619047619048,0.9523809523809523,0.5882352941176471
clinical_knowledge,0.43859649122807015,0.90625,0.9795918367346939,0.42857142857142855
college_biology,0.3076923076923077,0.8333333333333334,0.8620689655172413,0.6842105263157895
college_chemistry,0.5,0.6818181818181818,0.8181818181818182,0.5
college_computer_science,0.375,0.7428571428571429,0.6666666666666666,0.8181818181818182
college_mathematics,0.3076923076923077,0.7419354838709677,0.6,0.875
college_physics,0.5882352941176471,0.6923076923076923,0.7333333333333333,0.7692307692307693
computer_security,0.6,0.95,0.7894736842105263,0.8095238095238095
econometrics,0.6428571428571429,0.8125,0.76,0.6521739130434783
electrical_engineering,0.75,0.7045454545454546,0.8076923076923077,0.7222222222222222
elementary_mathematics,0.421875,0.7131147540983607,0.7333333333333333,0.627906976744186
formal_logic,0.5517241379310345,0.9230769230769231,0.8,0.3157894736842105
global_facts,0.21428571428571427,0.5294117647058824,0.8,0.5714285714285714
high_school_biology,0.6222222222222222,0.7981651376146789,0.8823529411764706,0.5348837209302325
high_school_chemistry,0.2564102564102564,0.7777777777777778,0.813953488372093,0.42857142857142855
high_school_computer_science,0.47619047619047616,0.6896551724137931,0.8421052631578947,0.9090909090909091
high_school_european_history,0.41379310344827586,0.8604651162790697,0.9117647058823529,0.46153846153846156
high_school_geography,0.5454545454545454,0.8135593220338984,0.875,0.5357142857142857
high_school_government_and_politics,0.6363636363636364,0.8431372549019608,0.95,0.53125
high_school_macroeconomics,0.6,0.8571428571428571,0.8888888888888888,0.3442622950819672
high_school_microeconomics,0.631578947368421,0.7608695652173914,0.9137931034482759,0.1935483870967742
high_school_physics,0.3333333333333333,0.7755102040816326,0.8055555555555556,0.42857142857142855
high_school_psychology,0.7452830188679245,0.8923076923076924,0.8849557522123894,0.632183908045977
high_school_statistics,0.5,0.8048780487804879,0.9,0.47058823529411764
high_school_us_history,0.5517241379310345,0.7903225806451613,0.8541666666666666,0.48
high_school_world_history,0.3902439024390244,0.84,0.8297872340425532,0.5172413793103449
human_aging,0.46153846153846156,0.8653846153846154,0.8771929824561403,0.59375
human_sexuality,0.7391304347826086,0.9310344827586207,0.7837837837837838,0.7894736842105263
international_law,0.5833333333333334,0.9714285714285714,0.95,0.6190476190476191
jurisprudence,0.5789473684210527,0.7419354838709677,0.8695652173913043,0.4666666666666667
logical_fallacies,0.3793103448275862,0.8235294117647058,0.8571428571428571,0.5833333333333334
machine_learning,0.5757575757575758,0.6190476190476191,0.6,0.7692307692307693
management,0.7619047619047619,0.92,0.9130434782608695,0.5333333333333333
marketing,0.875,0.7647058823529411,1.0,0.6410256410256411
medical_genetics,0.5263157894736842,0.8846153846153846,1.0,0.5
miscellaneous,0.6428571428571429,0.8695652173913043,0.8300653594771242,0.7479674796747967
moral_disputes,0.6875,0.7162162162162162,0.95,0.5
moral_scenarios,0.5938566552901023,0.484375,0.9035087719298246,0.9829059829059829
nutrition,0.45098039215686275,0.8524590163934426,0.9076923076923077,0.6857142857142857
professional_accounting,0.5454545454545454,0.6615384615384615,0.9473684210526315,0.5517241379310345
professional_medicine,0.36,0.8571428571428571,0.8571428571428571,0.5384615384615384
professional_psychology,0.546875,0.8771929824561403,0.9139784946236559,0.5476190476190477
public_relations,0.4,0.9166666666666666,0.8,0.5
security_studies,0.5,0.9090909090909091,1.0,0.9090909090909091
sociology,0.2857142857142857,1.0,0.8571428571428571,0.5
us_foreign_policy,0.8,0.75,1.0,0.8571428571428571
virology,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7142857142857143
world_religions,0.8333333333333334,0.8823529411764706,1.0,0.875
Mean,0.559372414197413,0.7903633631329879,0.8675229532499948,0.614236182165296
