Dataset,0,1,2,3
anatomy,0.2962962962962963,0.42592592592592593,0.2037037037037037,0.07407407407407407
astronomy,0.20588235294117646,0.38235294117647056,0.3235294117647059,0.08823529411764706
business_ethics,0.21621621621621623,0.43243243243243246,0.24324324324324326,0.10810810810810811
clinical_knowledge,0.24242424242424243,0.44696969696969696,0.23484848484848486,0.07575757575757576
college_biology,0.28125,0.453125,0.171875,0.09375
college_chemistry,0.14893617021276595,0.40425531914893614,0.2553191489361702,0.19148936170212766
college_computer_science,0.29545454545454547,0.5681818181818182,0.13636363636363635,0.0
college_mathematics,0.2692307692307692,0.5384615384615384,0.15384615384615385,0.038461538461538464
college_physics,0.23214285714285715,0.5178571428571429,0.16071428571428573,0.08928571428571429
computer_security,0.41304347826086957,0.2826086956521739,0.17391304347826086,0.13043478260869565
econometrics,0.352112676056338,0.2535211267605634,0.19718309859154928,0.19718309859154928
electrical_engineering,0.25675675675675674,0.3783783783783784,0.25675675675675674,0.10810810810810811
elementary_mathematics,0.14215686274509803,0.5196078431372549,0.2696078431372549,0.06862745098039216
formal_logic,0.21212121212121213,0.4090909090909091,0.24242424242424243,0.13636363636363635
global_facts,0.09302325581395349,0.46511627906976744,0.3953488372093023,0.046511627906976744
high_school_biology,0.2265625,0.5390625,0.171875,0.0625
high_school_chemistry,0.20212765957446807,0.4148936170212766,0.24468085106382978,0.13829787234042554
high_school_computer_science,0.21951219512195122,0.5365853658536586,0.14634146341463414,0.0975609756097561
high_school_european_history,0.15492957746478872,0.49295774647887325,0.2112676056338028,0.14084507042253522
high_school_geography,0.1411764705882353,0.4470588235294118,0.3176470588235294,0.09411764705882353
high_school_government_and_politics,0.24691358024691357,0.37037037037037035,0.2222222222222222,0.16049382716049382
high_school_macroeconomics,0.12380952380952381,0.4142857142857143,0.3,0.1619047619047619
high_school_microeconomics,0.28205128205128205,0.38461538461538464,0.24786324786324787,0.08547008547008547
high_school_physics,0.14102564102564102,0.4358974358974359,0.2948717948717949,0.1282051282051282
high_school_psychology,0.2676056338028169,0.3755868544600939,0.26291079812206575,0.09389671361502347
high_school_statistics,0.18181818181818182,0.48484848484848486,0.22727272727272727,0.10606060606060606
high_school_us_history,0.125,0.4772727272727273,0.29545454545454547,0.10227272727272728
high_school_world_history,0.21904761904761905,0.5428571428571428,0.18095238095238095,0.05714285714285714
human_aging,0.22826086956521738,0.391304347826087,0.2826086956521739,0.09782608695652174
human_sexuality,0.3275862068965517,0.3448275862068966,0.27586206896551724,0.05172413793103448
international_law,0.2894736842105263,0.39473684210526316,0.21052631578947367,0.10526315789473684
jurisprudence,0.21568627450980393,0.47058823529411764,0.23529411764705882,0.0784313725490196
logical_fallacies,0.14754098360655737,0.5737704918032787,0.14754098360655737,0.13114754098360656
machine_learning,0.2923076923076923,0.3230769230769231,0.3230769230769231,0.06153846153846154
management,0.1891891891891892,0.43243243243243246,0.2702702702702703,0.10810810810810811
marketing,0.22857142857142856,0.3,0.35714285714285715,0.11428571428571428
medical_genetics,0.29545454545454547,0.4090909090909091,0.20454545454545456,0.09090909090909091
miscellaneous,0.2872727272727273,0.36727272727272725,0.2509090909090909,0.09454545454545454
moral_disputes,0.1464968152866242,0.3821656050955414,0.33121019108280253,0.14012738853503184
moral_scenarios,0.5848670756646217,0.37014314928425357,0.044989775051124746,0.0
nutrition,0.24242424242424243,0.32323232323232326,0.3333333333333333,0.10101010101010101
professional_accounting,0.2727272727272727,0.47474747474747475,0.21212121212121213,0.04040404040404041
professional_medicine,0.23214285714285715,0.3392857142857143,0.42857142857142855,0.0
professional_psychology,0.32653061224489793,0.2925170068027211,0.3401360544217687,0.04081632653061224
public_relations,0.4230769230769231,0.46153846153846156,0.11538461538461539,0.0
security_studies,0.6,0.2,0.11428571428571428,0.08571428571428572
sociology,0.375,0.375,0.125,0.125
us_foreign_policy,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.2727272727272727
virology,0.36363636363636365,0.22727272727272727,0.22727272727272727,0.18181818181818182
world_religions,0.5294117647058824,0.29411764705882354,0.17647058823529413,0.0
Mean,0.2668595542178593,0.40992018633509614,0.23571491284561816,0.08750534660142648
