Dataset,0,1,2,3
anatomy,1.0,0.7804878048780488,0.64,0.6842105263157895
astronomy,0.84,0.7857142857142857,0.7575757575757576,0.625
business_ethics,0.8421052631578947,0.6666666666666666,0.7619047619047619,0.5
clinical_knowledge,0.6382978723404256,0.7294117647058823,0.7727272727272727,0.6388888888888888
college_biology,0.8695652173913043,0.7142857142857143,0.6428571428571429,0.5625
college_chemistry,1.0,0.6538461538461539,0.6666666666666666,0.5238095238095238
college_computer_science,0.8095238095238095,0.8620689655172413,0.5238095238095238,0.3333333333333333
college_mathematics,0.9166666666666666,0.7272727272727273,0.42857142857142855,0.07142857142857142
college_physics,0.6470588235294118,0.675,0.5833333333333334,0.26666666666666666
computer_security,0.8260869565217391,0.7272727272727273,0.47619047619047616,0.7857142857142857
econometrics,0.88,0.6,0.4782608695652174,0.5263157894736842
electrical_engineering,0.7142857142857143,0.7317073170731707,0.625,0.8
elementary_mathematics,0.6190476190476191,0.7536231884057971,0.5921052631578947,0.2916666666666667
formal_logic,0.875,0.8387096774193549,0.7142857142857143,0.6666666666666666
global_facts,0.8571428571428571,0.6923076923076923,0.6923076923076923,0.42857142857142855
high_school_biology,0.9166666666666666,0.8461538461538461,0.7115384615384616,0.5454545454545454
high_school_chemistry,0.7435897435897436,0.7755102040816326,0.6590909090909091,0.5625
high_school_computer_science,0.6470588235294118,0.7,0.5909090909090909,0.7272727272727273
high_school_european_history,0.7916666666666666,0.8148148148148148,0.7857142857142857,0.7307692307692307
high_school_geography,0.8888888888888888,0.7540983606557377,0.7333333333333333,0.6666666666666666
high_school_government_and_politics,0.8275862068965517,0.7547169811320755,0.7,0.7058823529411765
high_school_macroeconomics,0.7,0.8,0.725,0.6612903225806451
high_school_microeconomics,0.7547169811320755,0.8333333333333334,0.6271186440677966,0.65625
high_school_physics,0.7777777777777778,0.782608695652174,0.6842105263157895,0.7272727272727273
high_school_psychology,0.8173076923076923,0.7972027972027972,0.8155339805825242,0.6744186046511628
high_school_statistics,0.7586206896551724,0.782051282051282,0.65,0.5172413793103449
high_school_us_history,0.7,0.8360655737704918,0.6511627906976745,0.7333333333333333
high_school_world_history,0.7045454545454546,0.8378378378378378,0.6744186046511628,0.7741935483870968
human_aging,0.9166666666666666,0.6984126984126984,0.6739130434782609,0.8
human_sexuality,0.782608695652174,0.8,0.6216216216216216,0.6111111111111112
international_law,0.8571428571428571,0.7142857142857143,0.875,0.75
jurisprudence,0.8823529411764706,0.8,0.8,0.5625
logical_fallacies,0.75,0.8,0.7142857142857143,0.6153846153846154
machine_learning,0.6206896551724138,0.8636363636363636,0.5333333333333333,0.45454545454545453
management,0.6818181818181818,0.8518518518518519,0.8695652173913043,0.8333333333333334
marketing,0.6538461538461539,0.9534883720930233,0.8703703703703703,0.8205128205128205
medical_genetics,0.6666666666666666,0.7142857142857143,0.7368421052631579,0.7333333333333333
miscellaneous,0.7839506172839507,0.7789473684210526,0.8051948051948052,0.7049180327868853
moral_disputes,0.7058823529411765,0.8765432098765432,0.7362637362637363,0.7017543859649122
moral_scenarios,0.6810631229235881,0.7788461538461539,0.25688073394495414,0.0
nutrition,0.8181818181818182,0.7833333333333333,0.7285714285714285,0.8157894736842105
professional_accounting,0.75,0.765625,0.66,0.6363636363636364
professional_medicine,0.72,0.9259259259259259,0.725,0.6875
professional_psychology,0.7910447761194029,0.7222222222222222,0.7439024390243902,0.6
public_relations,0.8461538461538461,0.8571428571428571,0.8333333333333334,0.6666666666666666
security_studies,1.0,0.5,0.36363636363636365,0.8
sociology,0.8571428571428571,0.7692307692307693,1.0,0.5
us_foreign_policy,0.8,0.8,0.6,0.8
virology,0.7142857142857143,0.75,0.625,0.8
world_religions,0.75,0.7692307692307693,0.7692307692307693,0.6
Mean,0.7685600243127799,0.7817226797770382,0.6660354447028085,0.5807484277849431
