Dataset,A,B,C,D
anatomy,-0.06768008774645679,0.008687414070498112,0.027211940523224842,0.03178073315273394
astronomy,0.01770438425895024,0.004155992827481719,-0.0047971079498271285,-0.017063269136604886
business_ethics,-0.05307619990901169,0.013734797570416901,0.019257656737695805,0.020083745600898817
clinical_knowledge,-0.0155649123043764,-0.0003209503904356703,0.016258490998951602,-0.0003726283041396439
college_biology,0.009870102715082318,0.002242705792928179,-0.0031761111314885238,-0.008936697376521974
college_chemistry,0.018312191040372405,-0.009892466893064056,0.007892975034263588,-0.016312699181571966
college_computer_science,-0.01621294000114923,-0.007550226242159397,0.027662610122691278,-0.003899443879382708
college_mathematics,-0.001763120868593232,0.003390246389464724,-0.009574689687706223,0.007947564166834675
college_physics,0.055157000584407534,-0.009490284900555396,0.02555963526203675,-0.07122635094588893
computer_security,0.043188043776476503,-0.003424834217959194,0.020103815796971347,-0.05986702535548852
econometrics,0.031813645694418274,0.005879592844100251,-0.011556699303803375,-0.02613653923471504
electrical_engineering,-0.03554130446871098,0.012497179008286063,0.03190839847060495,-0.008864273010180168
elementary_mathematics,0.05059313464060047,-0.016573018795602606,0.004926729298793564,-0.03894684514379143
formal_logic,0.023112050407395668,-0.004551218567393933,-0.01356444525675815,-0.004996386583243639
global_facts,0.06666837991357961,-0.015257811816471706,0.027258737942781178,-0.07866930603988903
high_school_biology,-0.016234382038157413,0.013243850987558259,0.0006118685526581569,0.002378662497941053
high_school_chemistry,0.004426812430572247,0.022656585547352392,0.0029403643537007917,-0.03002376233162546
high_school_computer_science,-0.027927909958867958,0.0168733681367515,0.009334937463328474,0.0017196043587878185
high_school_european_history,-0.023678286496261525,-0.001251157057622465,0.030896113864230634,-0.005966670310346589
high_school_geography,-0.031122304264576683,0.009781290420181277,0.0013478052800709461,0.01999320856432457
high_school_government_and_politics,-0.035121437765984476,0.02285658075661684,0.006860203037282686,0.005404653972084894
high_school_macroeconomics,-0.004307769927575228,-0.0057127164474848335,0.02445590357732852,-0.014435417202268458
high_school_microeconomics,-0.00206657477520944,-0.0023670914912166663,0.010829052978521436,-0.006395386712095497
high_school_physics,0.0028749703761393464,-0.009893295278960185,0.038522478934867044,-0.031504154032046205
high_school_psychology,-0.05247429597316644,0.005510854287957778,0.02725048668791158,0.019712954997297083
high_school_statistics,0.01729224477133015,-0.01476885300424119,0.003449532259164695,-0.005972924026253601
high_school_us_history,-0.0500457440821554,0.007182408829490505,0.02135663206188776,0.021506703190777188
high_school_world_history,-0.030331149468098617,-0.0008869372835894618,0.018830260860476344,0.012387825891211623
human_aging,0.005394181278931931,0.003075548138082973,-0.0019150985785653662,-0.006554630838449593
human_sexuality,-0.03460257906473535,-0.0036614802657646828,0.031374970164002036,0.006889089166497997
international_law,-0.042759023680855046,0.0019017228183736967,0.027337775894397787,0.013519524968083618
jurisprudence,-0.03431170078625634,0.021246142302891347,0.01952133514951626,-0.0064557766661513805
logical_fallacies,-0.013436322137088563,0.0012431172578793448,0.007165860235816057,0.005027344643393328
machine_learning,0.015989701373576942,-0.010154461471775011,0.00936590205180396,-0.015201141953605918
management,-0.06389225164769646,0.021760259862237452,-0.0032452157785492486,0.045377207564008204
marketing,-0.03853874836733162,-0.0014588027652422952,0.013950921068005107,0.026046630064568865
medical_genetics,0.01873625977060467,-0.017942243854238926,0.008909555701634098,-0.009703571617999784
miscellaneous,-0.04346688876637539,0.004167460208352347,0.0184987902267163,0.02080063833130663
moral_disputes,0.002320088104984297,0.0012993763845104978,0.006719363281118607,-0.01033882777061329
moral_scenarios,0.05910274336159954,-0.037438291298191845,0.024504886087087868,-0.04616933815049554
nutrition,-0.02143732755919331,0.009157389269249028,0.008374124479823719,0.003905813810120451
professional_accounting,0.04632487824595477,-0.009920273028465182,-0.009978808724870919,-0.026425796492618614
professional_medicine,0.022347090442762813,-0.019193569939313926,0.043214582152511005,-0.046368102655959864
professional_psychology,0.01737972950477723,0.01449553568759332,0.010115554179433883,-0.0419908193718046
public_relations,0.04120949271622504,0.028731635459618987,-0.013119301070264322,-0.05682182710557948
security_studies,0.0502484130622845,0.025227365980444616,-0.00868650505897195,-0.06678927398375731
sociology,0.00258619167087093,-0.005081573794417649,0.021142852605026796,-0.018647470481479994
us_foreign_policy,-0.12112582713898286,0.034692209876269364,0.048273440776523235,0.038160176486190245
virology,0.08069387248301377,0.04218888929256817,-0.036301663684755126,-0.08658109809082686
world_religions,-0.07322493833826552,-0.021384524108749664,-0.005215407468369043,0.0998248699153842
Mean,-0.003959482645478186,-0.0014176450648954748,0.013752130336404942,-0.008375002626031301
Std,0.03845606166555504,0.01578798616088794,0.01331897212271682,0.02833723637768665
