Dataset,top_1_bin,top_2_bin,top_3_bin,top_4_bin
anatomy,51.851851851851855,18.51851851851852,15.74074074074074,13.88888888888889
astronomy,34.677419354838705,35.483870967741936,19.354838709677416,10.483870967741934
business_ethics,67.5,7.5,11.25,13.75
clinical_knowledge,45.75471698113208,25.943396226415096,19.81132075471698,8.49056603773585
college_biology,41.37931034482759,36.206896551724135,13.793103448275861,8.620689655172413
college_chemistry,18.75,20.0,32.5,28.75
college_computer_science,31.25,33.75,17.5,17.5
college_mathematics,37.5,28.75,22.5,11.25
college_physics,35.714285714285715,23.80952380952381,19.047619047619047,21.428571428571427
computer_security,70.0,17.5,5.0,7.5
econometrics,23.913043478260867,33.69565217391304,18.478260869565215,23.913043478260867
electrical_engineering,51.72413793103448,18.103448275862068,16.379310344827584,13.793103448275861
elementary_mathematics,25.328947368421055,23.68421052631579,29.60526315789474,21.38157894736842
formal_logic,31.73076923076923,25.961538461538463,24.03846153846154,18.26923076923077
global_facts,21.25,26.25,37.5,15.0
high_school_biology,54.03225806451613,24.193548387096772,12.5,9.274193548387096
high_school_chemistry,23.170731707317074,34.146341463414636,25.0,17.682926829268293
high_school_computer_science,32.5,23.75,28.75,15.0
high_school_european_history,61.36363636363636,25.0,6.818181818181818,6.818181818181818
high_school_geography,61.875,18.125,11.875,8.125
high_school_government_and_politics,64.1025641025641,12.17948717948718,16.025641025641026,7.692307692307693
high_school_macroeconomics,34.93589743589744,24.679487179487182,25.000000000000004,15.384615384615387
high_school_microeconomics,40.625,29.687500000000004,17.708333333333336,11.979166666666668
high_school_physics,26.61290322580645,17.741935483870968,33.064516129032256,22.58064516129032
high_school_psychology,60.550458715596335,19.036697247706424,13.53211009174312,6.8807339449541285
high_school_statistics,29.545454545454547,26.704545454545457,19.886363636363637,23.863636363636367
high_school_us_history,67.07317073170732,14.634146341463413,9.75609756097561,8.536585365853659
high_school_world_history,60.41666666666667,18.75,14.062500000000002,6.770833333333334
human_aging,41.66666666666667,23.88888888888889,23.88888888888889,10.555555555555555
human_sexuality,55.55555555555556,25.0,15.74074074074074,3.7037037037037037
international_law,59.0,16.0,15.0,10.0
jurisprudence,44.31818181818182,21.590909090909093,21.590909090909093,12.500000000000002
logical_fallacies,60.60606060606061,14.393939393939394,12.878787878787879,12.121212121212121
machine_learning,35.869565217391305,26.08695652173913,25.0,13.043478260869565
management,55.95238095238095,21.428571428571427,17.857142857142858,4.761904761904762
marketing,73.93617021276596,15.957446808510639,7.446808510638298,2.6595744680851063
medical_genetics,51.25,18.75,16.25,13.75
miscellaneous,66.2420382165605,18.312101910828023,8.121019108280255,7.32484076433121
moral_disputes,46.42857142857143,23.571428571428573,15.357142857142858,14.642857142857142
moral_scenarios,41.20111731843575,8.519553072625698,13.128491620111731,37.150837988826815
nutrition,51.41509433962264,25.0,14.150943396226415,9.433962264150944
professional_accounting,43.75000000000001,21.590909090909093,21.022727272727273,13.636363636363637
professional_medicine,51.851851851851855,24.074074074074073,13.88888888888889,10.185185185185185
professional_psychology,56.25,28.125,10.546875,5.078125
public_relations,50.0,36.11111111111111,13.88888888888889,0.0
security_studies,62.5,32.5,2.5,2.5
sociology,53.57142857142858,42.85714285714286,3.5714285714285716,0.0
us_foreign_policy,100.0,0.0,0.0,0.0
virology,57.142857142857146,42.85714285714286,0.0,0.0
world_religions,100.0,0.0,0.0,0.0
Mean,48.64625506072875,21.419534412955464,16.25759109311741,13.67661943319838
